Data Source,Platform/Station,Lat,Lon,Observation(s)
Everglades National Park (ENP),"BDVF1: Broad River, FL",25.478,-80.989,"salinity, waterTemperature"
Everglades National Park (ENP),"BNKF1: Butternut Key, FL",25.087,-80.519,"salinity, waterTemperature"
Everglades National Park (ENP),"BOBF1: Bob Allen, FL",25.027,-80.681,"salinity, waterTemperature"
Everglades National Park (ENP),"BWSF1: Blackwater Sound, FL",25.178,-80.438,"salinity, waterTemperature"
Everglades National Park (ENP),"CANF1: Cane Patch, FL",25.422,-80.942,"salinity, waterTemperature"
Everglades National Park (ENP),"CNBF1: Cannon Bay, FL",25.702,-81.186,"salinity, waterTemperature"
Everglades National Park (ENP),"CWAF1: Clear Water Pass, FL",25.297,-81.013,"salinity, waterTemperature"
Everglades National Park (ENP),"DKKF1: Duck Key, FL",25.18,-80.49,"salinity, waterTemperature"
Everglades National Park (ENP),"GBIF1: Gunboat Island, FL",25.378,-81.029,"salinity, waterTemperature"
Everglades National Park (ENP),"HCEF1: Highway Creek, FL",25.254,-80.444,"salinity, waterTemperature"
Everglades National Park (ENP),"JKYF1: Johnson Key, FL",25.053,-80.904,"salinity, waterTemperature"
Everglades National Park (ENP),"LBRF1: Broad River Lower, FL",25.484,-81.133,"salinity, waterTemperature"
Everglades National Park (ENP),"LBSF1: Little Blackwater, FL",25.214,-80.432,"salinity, waterTemperature"
Everglades National Park (ENP),"LMDF1: Little Madeira, FL",25.176,-80.633,"salinity, waterTemperature"
Everglades National Park (ENP),"LMRF1: Lostmans River, FL",25.556,-81.169,"salinity, waterTemperature"
Everglades National Park (ENP),"LRIF1: Lane River, FL",25.284,-80.894,"salinity, waterTemperature"
Everglades National Park (ENP),"LRKF1: Little Rabbit Key, FL",24.982,-80.826,"salinity, waterTemperature"
Everglades National Park (ENP),"LSNF1: Long Sound, FL",25.235,-80.457,"salinity, waterTemperature"
Everglades National Park (ENP),"MUKF1: Murray Key, FL",25.106,-80.942,"salinity, waterTemperature"
Everglades National Park (ENP),"PKYF1: Peterson Key, FL",24.918,-80.747,"salinity, waterTemperature"
Everglades National Park (ENP),"TCVF1: Trout Cove, FL",25.213,-80.533,"salinity, waterTemperature"
Everglades National Park (ENP),"TPEF1: Tarpon Bay East, FL",25.41,-80.964,"salinity, waterTemperature"
Everglades National Park (ENP),"TRRF1: Taylor River, FL",25.217,-80.65,"salinity, waterTemperature"
Everglades National Park (ENP),"WIWF1: Willy Willy, FL",25.587,-81.044,"salinity, waterTemperature"
Everglades National Park (ENP),"WPLF1: Watson Place, FL",25.71,-81.249,"salinity, waterTemperature"
Everglades National Park (ENP),"WWEF1: White Water -West, FL",25.232,-80.938,"salinity, waterTemperature"
Everglades National Park (ENP),"GBTF1: Garfield Bight, FL",25.167,-80.801,"salinity, waterTemperature, waterLevel"
Everglades National Park (ENP),"WRBF1: Whipray Basin, FL",25.072,-80.735,"salinity, waterTemperature, winds"
"National Data Buoy Center, NOAA","42001: 42001 - MID GULF 180 nm South of Southwest Pass, LA",25.888,-89.658,"airPressure, airTemperature, currents, waterTemperature, winds"
"National Data Buoy Center, NOAA","42002: 42002 - W GULF 207 NM East of Brownsville, TX",26.091,-93.758,"airPressure, airTemperature, currents, waterTemperature, winds"
"National Data Buoy Center, NOAA","42003: 42003 - E GULF 262 nm South of Panama City, FL",26.007,-85.648,"airPressure, airTemperature, currents, waterTemperature, winds"
"National Data Buoy Center, NOAA","42020: 42020 - Corpus Christi, TX 50NM Southeast of Corpus Christi, TX",26.968,-96.694,"airPressure, airTemperature, currents, waterTemperature, winds"
"National Data Buoy Center, NOAA","42036: 42036 - W. TAMPA  106NM West Northwest of  Tampa, FL",28.5,-84.517,"airPressure, airTemperature, currents, waterTemperature, winds"
"National Data Buoy Center, NOAA",42012: 42012 - Orange Beach AL Buoy,30.065,-87.555,"airPressure, airTemperature, waterTemperature, winds"
"National Data Buoy Center, NOAA","42019: 42019 - Freeport, TX 60 NM South of Freeport, TX",27.907,-95.353,"airPressure, airTemperature, waterTemperature, winds"
"National Data Buoy Center, NOAA","42035: 42035 - GALVESTON  22NM East of Galveston, TX",29.232,-94.413,"airPressure, airTemperature, waterTemperature, winds"
"National Data Buoy Center, NOAA","42039: 42039 - PENSACOLA - 115NM East Southeast of  Pensacola, FL",28.739,-86.006,"airPressure, airTemperature, waterTemperature, winds"
"National Data Buoy Center, NOAA",42055: 42055 - Bay of Campeche,22.203,-94,"airPressure, airTemperature, waterTemperature, winds"
"National Data Buoy Center, NOAA",42056: 42056 - Yucatan Basin,19.802,-84.857,"airPressure, airTemperature, waterTemperature, winds"
"National Data Buoy Center, NOAA",42057: 42057 - Western  Caribbean,17.002,-81.501,"airPressure, airTemperature, waterTemperature, winds"
"National Data Buoy Center, NOAA","FWYF1: FWYF1 - Fowey Rocks, FL",25.591,-80.097,"airPressure, airTemperature, waterTemperature, winds"
"National Data Buoy Center, NOAA","PTAT2: PTAT2 - Port Aransas, TX",27.826,-97.051,"airPressure, airTemperature, waterTemperature, winds"
"National Data Buoy Center, NOAA","SAUF1: SAUF1 - St. Augustine, FL",29.857,-81.265,"airPressure, airTemperature, waterTemperature, winds"
"National Data Buoy Center, NOAA","SGOF1: SGOF1 - Tyndall AFB Tower C (N4), FL",29.408,-84.858,"airPressure, airTemperature, waterTemperature, winds"
"National Data Buoy Center, NOAA","VENF1: VENF1 - Venice, FL",27.072,-82.453,"airPressure, airTemperature, waterTemperature, winds"
"National Data Buoy Center, NOAA","BURL1: BURL1 - Southwest Pass, LA",28.906,-89.429,"airPressure, airTemperature, winds"
"National Data Buoy Center, NOAA","CDRF1: CDRF1 - Cedar Key, FL",29.136,-83.029,"airPressure, airTemperature, winds"
"National Data Buoy Center, NOAA","KTNF1: KTNF1 - Keaton Beach, FL",29.819,-83.593,"airPressure, airTemperature, winds"
"National Data Buoy Center, NOAA","PLSF1: PLSF1 - Pulaski Shoal Light, FL",24.693,-82.773,"airPressure, airTemperature, winds"
"National Data Buoy Center, NOAA","SANF1: SANF1 - Sand Key, FL",24.456,-81.877,"airPressure, airTemperature, winds"
"National Data Buoy Center, NOAA","SMKF1: SMKF1 - Sombrero Key, FL",24.628,-81.112,"airPressure, airTemperature, winds"
"National Data Buoy Center, NOAA","SRST2: SRST2 - Sabine Pass, TX",29.683,-94.033,"airPressure, airTemperature, winds"
"National Data Buoy Center, NOAA","42007: 42007 - BILOXI 22 nm  South-Southeast of Biloxi, MS {disestablished, 2010} ",30.09,-88.769,"airTemperature, dewPoint,  waterTemperature , wavw, winds"
"National Data Buoy Center, NOAA","42040: 42040 – Luke Offshore – 63 NM South of Dauphin Is., AL",29.21,-88.21,"airPressure , airTemperature, dewTemperature,  waterTemperature, winds"
"National Estuarine Research Reserve System, NOAA",apaebmet: East Bay,29.7909,-84.8834,"airPressure, airTemperature, relativeHumidity, winds"
"National Estuarine Research Reserve System, NOAA",gndcrmet: Crooked Bayou,30.3592,-88.42,"airPressure, airTemperature, relativeHumidity, winds"
"National Estuarine Research Reserve System, NOAA",marcemet: Copano East,28.1323,-97.0344,"airPressure, airTemperature, relativeHumidity, winds"
"National Estuarine Research Reserve System, NOAA",rkbuhmet: Upper Henderson Creek,26.0501,-81.7017,"airPressure, airTemperature, relativeHumidity, winds"
"National Estuarine Research Reserve System, NOAA",wkbshmet: Safe Harbor Met Station,30.4212,-87.8285,"airPressure, airTemperature, relativeHumidity, winds"
"National Estuarine Research Reserve System, NOAA",gtmpcmet: Pellicer Creek,29.6577,-81.2327,"airPressure, airTemperature, relativeHumidity, winds,  dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",apacpwq: Cat Point,29.7021,-84.8802,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",apadbwq: Dry Bar,29.6747,-85.0583,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",apaebwq: East Bay Bottom,29.7858,-84.8752,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",apaeswq: East Bay Surface,29.858,-84.8752,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",gndbcwq: Bayou Cumbest,30.3836,-88.4364,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",gndbhwq: Bayou Heron,30.4178,-88.4054,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",gndblwq: Bangs Lake,30.3571,-88.4629,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",gtmfmwq: Fort Matanzas,29.737,-81.2459,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",gtmpiwq: Pine Island,30.0508,-81.3674,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",gtmsswq: San Sebastian,29.8688,-81.3074,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",marabwq: Aransas Bay,27.9798,-97.0287,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",marcewq: Copano Bay East,28.1323,-97.0344,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",marcwwq: Copano Bay West,28.0841,-97.2009,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",marmbwq: Mesquite Bay,28.1384,-96.8285,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",marscwq: Ship Channel,27.8383,-97.0503,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",rkbfbwq: Fakahatchee Bay,25.8922,-81.477,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",rkbfuwq: Faka Union Bay,25.9005,-81.5159,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",rkblhwq: Lower Henderson Creek,26.0257,-81.7332,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",rkbmbwq: Middle Blackwater River,25.9343,-81.5946,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",wkbfrwq: Fish River,30.4162,-87.8228,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",wkbmbwq: Middle Bay,30.39,-87.8177,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",wkbmrwq: Magnolia River,30.39,-87.8177,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",wkbwbwq: Weeks Bay,30.3808,-87.832,"dissolvedOxygen, salinity,  turbidity, waterTemperature"
"National Estuarine Research Reserve System, NOAA",gndpcwq: Point Aux Chenes Bay,30.3486,-88.4185,"dissolvedOxygen, salinity,  waterTemperature"
"National Ocean Service,  NOAA","8778490: Port Mansfield, TX",26.5546,-97.4221,"airPressure, airTemperature"
"National Ocean Service,  NOAA","8737048: Mobile State Docks, AL",30.7083,-88.0433,"airPressure, airTemperature, salinity, waterLevel,  waterTemperature"
"National Ocean Service,  NOAA","8764314: Eugene Istans, North of, LA",29.2675,-91.3839,"airPressure, airTemperature, salinity, waterLevel,  waterTemperature, winds"
"National Ocean Service,  NOAA","8770613: Morgans Point, TX",29.6817,-94.985,"airPressure, airTemperature, salinity, waterLevel,  waterTemperature, winds"
"National Ocean Service,  NOAA","8770777: Manchester, TX",29.7263,-95.2658,"airPressure, airTemperature, waterLevel"
