Data Source,Platform/Station,Lat,Lon,Observation(s)
Center for Ocean  Atmospheric Prediction Studies (COAPS),Tower No. N7,29.6619,-84.3731,"airPressure, airTemperature, dewTemperature,  relativeHumidity, salinity,  waterTemperature, winds"
Coastal Ocean  Monitoring and  Prediction System  (COMPS),C10: Navy-2,27.169,-82.926,"airPressure, airTemperature, currents, relativeHumidity,  salinity, waterTemperature, winds"
Coastal Ocean  Monitoring and  Prediction System  (COMPS),C12: West Florida Central Buoy,27.498,-83.722,"airPressure, airTemperature, currents, relativeHumidity,  salinity, winds"
Coastal Ocean  Monitoring and  Prediction System  (COMPS),C13: West Florida South Buoy,26.063,-83.073,"airPressure, airTemperature, relativeHumidity"
Coastal Ocean  Monitoring and  Prediction System  (COMPS),"EGK: Egmont Key, FL ",27.601,-82.751,"airPressure,  airTemperature,  relativeHumidity,  salinity,  waterLevel,  waterTemperature, winds"
Coastal Ocean  Monitoring and  Prediction System  (COMPS),"FHP: Fred Howard Park, FL",28.153,-82.801,"airPressure, airTemperature, relativeHumidity, salinity,  waterLevel, waterTemperature, winds"
Coastal Ocean  Monitoring and  Prediction System  (COMPS),"NFB: Northwest Florida Bay, FL",25.084,-81.096,"airPressure, airTemperature, relativeHumidity, salinity,  waterTemperature, winds"
Coastal Ocean  Monitoring and  Prediction System  (COMPS),"CPK: Campbell Park, FL",27.765,-82.649,"airPressure, airTemperature, relativeHumidity, salinity, winds"
Coastal Ocean  Monitoring and  Prediction System  (COMPS),"APK: Aripeka, FL",28.433,-82.667,"airPressure, airTemperature, relativeHumidity, waterLevel, winds"
Coastal Ocean  Monitoring and  Prediction System  (COMPS),"BCP: Big Carlos Pass, FL",26.404,-81.881,"airPressure, airTemperature, relativeHumidity, waterLevel, winds"
Coastal Ocean  Monitoring and  Prediction System  (COMPS),"SHP: Shell Point, FL",30.06,-84.291,"airPressure, airTemperature, relativeHumidity, waterLevel, winds"
Coastal Ocean  Monitoring and  Prediction System  (COMPS),"TAS: Tarpon Springs, FL",28.156,-82.758,"airPressure, airTemperature, relativeHumidity, waterLevel, winds"
Coastal Ocean  Monitoring and  Prediction System  (COMPS),"ANC: Anclote Gulf Park, FL",28.193,-82.789,"airPressure, airTemperature, salinity, waterLevel,  waterTemperature, winds"
Coastal Ocean  Monitoring and  Prediction System  (COMPS),"ANM: Anna Maria, FL",27.54,-82.74,"airPressure, airTemperature, waterLevel, winds"
Central Gulf Ocean  Observing System  (CenGOOS),USM3M02: 42067 - USM3M02,30.043,-88.649,"airPressure, airTemperature, currents, relativeHumidity,  salinity, waterTemperature, waves, winds"
Dauphin Island Sea  Laboratory (DISL),"BSCA: Station Bon Secour, LA",30.3288,-87.8293,"airPressure, airTemperature, dissolvedOxygen,  relativeHumidity, salinity,  waterLevel, waterTemperature, winds"
Dauphin Island Sea  Laboratory (DISL),"CATA: Cedar Point, AL",30.3085,-88.1395,"airPressure, airTemperature, dissolvedOxygen,  relativeHumidity, salinity,  waterLevel, waterTemperature, winds"
Dauphin Island Sea  Laboratory (DISL),"DISL: Dauphin Island, AL",30.2513,-88.0778,"airPressure, airTemperature, dissolvedOxygen,  relativeHumidity, salinity,  waterLevel, waterTemperature, winds"
Dauphin Island Sea  Laboratory (DISL),"KATA: Katrina Cut, AL ",30.2583,-88.2131,"airPressure,  airTemperature,   dissolvedOxygen,   relativeHumidity,  salinity,   waterLevel, waterTemperature,   winds "
Dauphin Island Sea  Laboratory (DISL),"MBLA: Middle Bay Light, AL",30.4367,-88.0117,"airPressure, airTemperature, dissolvedOxygen,  relativeHumidity, salinity,  waterLevel, waterTemperature, winds"
Dauphin Island Sea  Laboratory (DISL),"PPTA: Perdido Pass, AL",30.2791,-87.5561,"airPressure, airTemperature, dissolvedOxygen,  relativeHumidity, salinity,  waterLevel, waterTemperature, winds"
Dauphin Island Sea  Laboratory (DISL),"MHPA: Meaher Park, AL",30.6671,-87.9365,"airPressure, airTemperature, dissolvedOxygen, salinity,  waterLevel, waterTemperature, winds"
Florida Fish and Wildlife Research Institute (FWRI),FWRI OTB: Old Tampa Bay,27.932003,-82.647455,"airPressure, airTemperature, chlorophyll, dissolvedOxygen, salinity, turbidity,  waterTemperature, winds"
Florida Fish and Wildlife Research Institute (FWRI),FWRI MTB: Middle Tampa Bay,27.661,-82.594,"chlorophyll, dissolvedOxygen, salinity, turbidity,  waterTemperature"
Florida Fish and Wildlife Research Institute (FWRI),FWRI NPD: New Pass Dock,27.333752,-82.579374,"chlorophyll, dissolvedOxygen, salinity, turbidity,  waterTemperature"
Louisiana Universities  Marine Consortium  (LUMCON),"101: LUMCON Marine Center, LA",29.25333,-90.66333,"airPressure, airTemperature, dissolvedOxygen,  relativeHumidity, salinity,  waterTemperature, winds"
Louisiana Universities  Marine Consortium  (LUMCON),"103: Western Lake Ponchartrain, LA",30.18894,-90.16831,"airPressure, airTemperature, relativeHumidity, salinity,  waterLevel, waterTemperature, winds"
Louisiana Universities  Marine Consortium  (LUMCON),"102: Terrebonne Bay, LA",29.187,-90.6093,"airTemperature, relativeHumidity, salinity, waterTemperature, winds"
Louisiana Universities  Marine Consortium  (LUMCON),"105: Tambour Bay, LA",29.18737,-90.66542,"airTemperature, relativeHumidity, waterLevel, winds"
Louisiana Universities  Marine Consortium  (LUMCON),104: MissRiver-Audobon,29.5526,-90.807,salinity
Oil and Petroleum Industry Participating Platforms  (ADCP),42361 - Auger - Garden Banks 426,27.55,-92.49,"airPressure, airTemperature, dewPoint, winds, currents"
Oil and Petroleum Industry Participating Platforms  (ADCP),42362 - Brutus - Green Canyon 158,27.795,-90.648,"airPressure, airTemperature, dewPoint, winds, currents"
Oil and Petroleum Industry Participating Platforms  (ADCP),42363 - Mars - Mississippi Canyon 807,28.16,-89.22,"waterTemperature,  currents"
Oil and Petroleum Industry Participating Platforms  (ADCP),42364 - Ram-Powell - Viosca Knoll  936,29.06,-88.09,"airPressure, airTemperature, dewPoint, winds, currents"
Oil and Petroleum Industry Participating Platforms  (ADCP),42365 - Ursa - Mississippi Canyon 809,28.2,-89.12,"airTemperature, dewPoint,  waterTemperature, currents"
Oil and Petroleum Industry Participating Platforms  (ADCP),42366 - Red Hawk - Garden Banks 877,27.122,-91.959,currents
Oil and Petroleum Industry Participating Platforms  (ADCP),42368 - Magnolia - Garden Banks 783,27.204,-92.203,"waterTemperature, currents"
Oil and Petroleum Industry Participating Platforms  (ADCP),42370 - Holstein - Green Canyon 645,27.322,-90.536,"airPressure, airTemperature, dewPoint, winds,  waterTemperature, currents"
Oil and Petroleum Industry Participating Platforms  (ADCP),42371 – Typhoon – Green Canyon 237,27.732,-91.111,"waterTemperature ,currents"
